date,avg_home_value,mortgage_rate
2011-03-31,178965.43581382956,4.836
2011-04-30,178209.16651996828,4.84
2011-05-31,177393.82252298325,4.6375
2011-06-30,176616.8402766641,4.51
2011-07-31,175958.04139092762,4.545
2011-08-31,175376.92646198435,4.27
2011-09-30,174821.23265023917,4.106
2011-10-31,174272.63119762897,4.0675
2011-11-30,173775.3666458187,3.9925
2011-12-31,173350.91452286977,3.958
2012-01-31,173077.37460808744,3.915
2012-02-29,173009.13416403678,3.89
2012-03-31,173169.34570604496,3.9539999999999997
2012-04-30,173475.14560572297,3.91
2012-05-31,174525.99765074337,3.798
2012-06-30,174609.32020638027,3.675
2012-07-31,175360.02376987858,3.55
2012-08-31,176010.24209832476,3.6019999999999994
2012-09-30,176729.18097975905,3.4975
2012-10-31,177428.35396762006,3.3825000000000003
2012-11-30,178225.92309363023,3.3519999999999994
2012-12-31,178986.06437209153,3.345
2013-01-31,179799.0568459182,3.414
2013-02-28,180591.48354146295,3.5325
2013-03-31,181380.7579815878,3.565
2013-04-30,182265.8557386805,3.4450000000000003
2013-05-31,183379.85970747122,3.536
2013-06-30,184698.20615888957,4.07
2013-07-31,185950.3409853244,4.37
2013-08-31,187212.391151101,4.456
2013-09-30,188415.3580618489,4.49
2013-10-31,189693.43779831278,4.192
2013-11-30,190662.80823333858,4.255
2013-12-31,191436.85252973958,4.4575
2014-01-31,192062.7444335036,4.432
2014-02-28,192758.51500104842,4.3025
2014-03-31,193481.0187504843,4.3425
2014-04-30,194287.98184692464,4.3375
2014-05-31,195241.88170714804,4.192
2014-06-30,196095.80841691166,4.1625
2014-07-31,196939.52491130275,4.13
2014-08-31,197605.75091124736,4.115
2014-09-30,198299.99474967903,4.1625
2014-10-31,198769.9941606705,4.036
2014-11-30,199350.22933209958,3.9975
2014-12-31,200002.27857987914,3.864
2015-01-31,200780.9343009773,3.67
2015-02-28,201588.27158389508,3.71
2015-03-31,202422.71832215495,3.77
2015-04-30,203365.29019393484,3.6720000000000006
2015-05-31,204377.54914718884,3.84
2015-06-30,205364.85552166455,3.9825
2015-07-31,206403.12717882864,4.046
2015-08-31,207503.15250828105,3.905
2015-09-30,208722.39167245565,3.89
2015-10-31,209970.68294604815,3.7960000000000003
2015-11-30,211052.9099720606,3.9425
2015-12-31,212088.19630496917,3.964
2016-01-31,213178.8743753562,3.8725
2016-02-29,214282.33366359916,3.66
2016-03-31,215084.83438946956,3.694
2016-04-30,215805.17292066768,3.605
2016-05-31,216539.2766696272,3.6
2016-06-30,217443.58069958456,3.5679999999999996
2016-07-31,218121.0038123559,3.44
2016-08-31,218679.7550092061,3.435
2016-09-30,219258.72397993057,3.46
2016-10-31,220075.8230267333,3.47
2016-11-30,221101.94769978084,3.77
2016-12-31,222263.11533967606,4.198
2017-01-31,223393.56369194508,4.15
2017-02-28,224517.06878113703,4.1675
2017-03-31,225635.3093996885,4.196
2017-04-30,226875.70618382745,4.045
2017-05-31,227979.30306456122,4.01
2017-06-30,229007.65688608834,3.904
2017-07-31,229886.2257301561,3.9675
2017-08-31,230766.9781259864,3.88
2017-09-30,231715.84297904358,3.805
2017-10-31,232770.24331592067,3.895
2017-11-30,233905.23907341753,3.9220000000000006
2017-12-31,235066.7308106339,3.95
2018-01-31,236278.6222052758,4.032500000000001
2018-02-28,237509.39535340466,4.33
2018-03-31,238985.3530447447,4.444
2018-04-30,240326.33542602757,4.4675
2018-05-31,241634.87255096898,4.586
2018-06-30,242527.73525802934,4.57
2018-07-31,243613.7332721433,4.5275
2018-08-31,244633.10404717163,4.55
2018-09-30,245718.92024805787,4.6275
2018-10-31,246441.99487657304,4.83
2018-11-30,247156.14156594145,4.866
2018-12-31,247823.78615377352,4.6375
2019-01-31,248657.80281513432,4.464
2019-02-28,249674.2458841213,4.37
2019-03-31,250014.66618472108,4.265
2019-04-30,252056.34333314205,4.1425
2019-05-31,252902.01322593825,4.072
2019-06-30,253597.11680681503,3.8025
2019-07-31,254228.11413070947,3.765
2019-08-31,254930.32374976118,3.616
2019-09-30,255525.7907389253,3.605
2019-10-31,256346.2288046468,3.6880000000000006
2019-11-30,257503.5993857788,3.695
2019-12-31,258911.1799013069,3.72
2020-01-31,260452.10583314882,3.624
2020-02-29,262011.95491986765,3.465
2020-03-31,263717.80184006057,3.45
2020-04-30,265301.5054898787,3.306
2020-05-31,266248.57996672374,3.2325
2020-06-30,266694.73925108224,3.1625
2020-07-31,267311.3299058955,3.016
2020-08-31,268933.2545891803,2.935
2020-09-30,271870.6961229384,2.89
2020-10-31,275455.8750109097,2.8339999999999996
2020-11-30,279491.1449499253,2.765
2020-12-31,283417.5285531286,2.684
2021-01-31,287151.7164595137,2.735
2021-02-28,291001.208054153,2.81
2021-03-31,295068.6408876412,3.0825
2021-04-30,299579.98750433035,3.06
2021-05-31,304522.90140156215,2.9625
2021-06-30,309676.0813353798,2.975
2021-07-31,314173.26514806016,2.868
2021-08-31,317156.5460600622,2.8425
2021-09-30,318785.2029871401,2.9
2021-10-31,320302.20050932036,3.0675
2021-11-30,322497.6564225087,3.0675
2021-12-31,325285.62472427846,3.098
2022-01-31,329391.04194606276,3.4450000000000003
2022-02-28,334547.9210088619,3.7625
2022-03-31,340831.8767185581,4.172
2022-04-30,346971.68317040056,4.9825
2022-05-31,352256.7829243499,5.23
2022-06-30,356302.82919556525,5.522
2022-07-31,357984.90116583696,5.4125
2022-08-31,357478.4170850756,5.2225
2022-09-30,355364.7705950803,6.112
2022-10-31,353545.4282202427,6.9
2022-11-30,352194.181331244,6.805
2022-12-31,351141.1783404571,6.364000000000001
2023-01-31,349820.60462937015,6.2725
2023-02-28,348798.8260381284,6.2575
2023-03-31,348609.77011092554,6.544
2023-04-30,349625.86134360527,6.342499999999999
2023-05-31,351438.89187125507,6.425
2023-06-30,353603.9841652544,6.714000000000001
2023-07-31,355581.0660094834,6.84
2023-08-31,357452.82101702236,7.072
2023-09-30,358938.9119968863,7.2
2023-10-31,360011.82932368055,7.62
2023-11-30,360668.87708278134,7.442
2023-12-31,361018.2024582618,6.815
2024-01-31,361272.66956855415,6.6425
2024-02-29,361988.9562310009,6.776000000000001
2024-03-31,363639.39418207057,6.82
2024-04-30,365834.9141510919,6.9925
2024-05-31,367628.2268920678,7.06
2024-06-30,368475.03742436547,6.9175
2024-07-31,368850.8227812379,6.8475
2024-08-31,369315.56385904556,6.5
2024-09-30,370049.7483588888,6.18
2024-10-31,370938.41622469656,6.428
2024-11-30,371740.08597230766,6.805
2024-12-31,372745.3921687771,6.715
2025-01-31,373578.3850368693,6.958
2025-02-28,374217.1885974939,6.842499999999999
2025-03-31,374041.56405437517,6.65
2025-04-30,373612.3221139682,6.725
2025-05-31,373006.9629436566,6.816
2025-06-30,372510.03615190607,6.8175
2025-07-31,372265.5016075986,6.720000000000001
2025-08-31,372255.0381306521,6.5875
2025-09-30,372692.3276003559,6.3525
2025-10-31,373405.3685800773,6.253999999999999
2025-11-30,374353.70447595447,6.2375
2025-12-31,375459.4409964488,6.19
2026-01-31,376462.99994402303,6.1025
2026-02-28,377361.65564750944,6.0475
